Loanref,first_default_month,speed_label
F22Q40186018,21,0
F23Q20187191,19,0
F22Q20288125,7,1
F22Q30228982,13,0
F22Q10210860,3,1
F23Q30231558,9,1
F22Q10238651,6,1
F23Q30021225,10,1
F22Q40065290,14,0
F22Q20106808,3,1
F22Q30081933,11,1
F22Q40052438,12,1
F22Q40150354,22,0
F22Q40168138,15,0
F22Q30316593,10,1
F22Q20129977,22,0
F22Q20266905,18,0
F23Q20197265,10,1
F23Q10094133,10,1
F22Q20021104,17,0
F22Q20155083,19,0
F22Q10518674,19,0
F22Q40165805,17,0
F22Q10538061,13,0
F22Q10236332,12,1
F22Q10251088,19,0
F22Q20234576,9,1
F22Q10114155,17,0
F22Q20332158,24,0
F22Q10201722,3,1
F22Q30212854,19,0
F22Q40040624,10,1
F22Q40060559,7,1
F22Q20113607,4,1
F22Q40110203,8,1
F22Q30175438,23,0
F22Q40139744,24,0
F22Q10154399,23,0
F22Q30010255,5,1
F22Q10462116,20,0
F23Q20248470,24,0
F23Q10081456,11,1
F23Q10012570,18,0
F23Q30139637,23,0
F22Q40171364,12,1
F22Q40007893,16,0
F23Q30063720,18,0
F22Q30084249,9,1
F22Q10394157,15,0
F22Q30131414,9,1
F23Q20089352,6,1
F22Q20214052,11,1
F22Q20287692,12,1
F23Q10045163,16,0
F22Q30135579,24,0
F23Q10172312,13,0
F22Q10085570,16,0
F22Q30181501,13,0
F22Q10273967,20,0
F22Q10521611,6,1
F22Q30100317,16,0
F23Q10066016,23,0
F22Q10117154,3,1
F23Q30210744,16,0
F22Q20262296,16,0
F22Q10030501,5,1
F22Q10481061,5,1
F23Q20051135,16,0
F23Q20082335,15,0
F22Q20253769,20,0
F22Q40207378,4,1
F22Q30263024,16,0
F22Q30330850,10,1
F22Q30318671,11,1
F22Q30259581,6,1
F22Q40088993,13,0
F22Q10238625,3,1
F22Q10193778,13,0
F22Q20276755,10,1
F22Q40043252,11,1
F22Q10051857,17,0
F22Q30005449,16,0
F22Q40205367,21,0
F22Q20088769,13,0
F22Q30079637,4,1
F22Q30275945,22,0
F22Q10135827,10,1
F22Q40076142,16,0
F22Q40036729,14,0
F22Q10217584,12,1
F23Q30122737,24,0
F22Q10358533,14,0
F22Q30267963,18,0
F22Q20040596,19,0
F23Q10175710,16,0
F22Q30033006,14,0
F22Q10559129,16,0
F22Q30326126,22,0
F22Q20367588,9,1
F22Q30061675,16,0
F22Q10471595,5,1
F22Q40040476,3,1
F22Q40188982,19,0
F22Q40218966,21,0
F23Q20263929,20,0
F23Q10125831,10,1
F22Q30174165,4,1
F23Q20073693,22,0
F23Q30198647,21,0
F22Q30320871,20,0
F22Q40138015,4,1
F22Q10562006,8,1
F23Q20042218,6,1
F23Q20225335,17,0
F22Q40093001,19,0
F23Q30258593,10,1
F22Q20115836,17,0
F22Q10295019,15,0
F22Q20199920,21,0
F22Q40129442,4,1
F22Q30263987,19,0
F22Q40045371,11,1
F22Q40091669,7,1
F23Q10110322,14,0
F23Q20018486,3,1
F22Q40025397,18,0
F22Q20136884,18,0
F22Q40192470,9,1
F23Q10162534,17,0
F23Q30155923,11,1
F22Q30293170,22,0
F23Q20173061,20,0
F22Q20108198,4,1
F22Q10581372,22,0
F22Q20409969,8,1
F23Q10025318,22,0
F23Q30256384,20,0
F23Q10106552,4,1
F22Q20097856,11,1
F22Q20373746,4,1
F22Q30204683,17,0
F22Q20144709,9,1
F22Q30322215,17,0
F23Q30174211,19,0
F23Q20265315,17,0
F22Q10120823,23,0
F22Q10433419,16,0
F23Q10047875,18,0
F22Q40164687,23,0
F23Q30172852,10,1
F22Q20123930,9,1
F22Q20372862,4,1
F23Q20174957,23,0
F22Q40160318,13,0
F22Q20131417,24,0
F23Q30029926,19,0
F22Q30019627,8,1
F23Q30122497,23,0
F22Q10210973,8,1
F23Q10100098,4,1
F23Q10137135,8,1
F23Q10154017,10,1
F22Q20070271,11,1
F22Q10391169,22,0
F22Q30198511,7,1
F23Q30262965,13,0
F22Q20275855,16,0
F23Q20013113,24,0
F22Q30251907,4,1
F22Q20245059,14,0
F23Q20234869,23,0
F22Q20314080,22,0
F22Q30316086,11,1
F22Q30253765,14,0
F22Q20182564,9,1
F23Q10014532,3,1
F23Q20111271,17,0
F22Q10312171,10,1
F22Q30292255,21,0
F22Q10329135,7,1
F23Q20159695,17,0
F22Q10263184,14,0
F22Q20153856,23,0
F22Q20310929,8,1
F22Q30162376,8,1
F22Q20079560,7,1
F22Q20403441,15,0
F22Q30288336,3,1
F22Q20178577,13,0
F22Q10166262,10,1
F22Q20385880,7,1
F22Q30030587,19,0
F22Q30220429,22,0
F22Q10125964,24,0
F23Q30130415,14,0
F23Q30096410,21,0
F22Q40075443,13,0
F22Q40204815,13,0
F23Q10077330,3,1
F22Q10505258,5,1
F23Q30257187,23,0
F23Q10123324,19,0
F22Q20145043,23,0
F22Q10081832,8,1
F23Q10013348,3,1
F22Q40061180,8,1
F22Q30050307,12,1
F23Q30147466,15,0
F22Q30312966,11,1
F23Q20098258,15,0
F22Q20311410,9,1
F22Q10466375,10,1
F22Q10498999,22,0
F22Q20096131,16,0
F22Q40180779,16,0
F23Q30012686,14,0
F22Q40170739,10,1
F22Q10033349,21,0
F22Q20231643,4,1
F22Q20219122,15,0
F23Q10111551,21,0
F23Q30121804,8,1
F22Q30174975,10,1
F23Q30008510,3,1
F22Q20228034,4,1
F22Q30218850,24,0
F22Q40032009,22,0
F22Q10386601,17,0
F23Q20256249,14,0
F23Q20102083,15,0
F23Q30000944,14,0
F23Q30201623,18,0
F22Q30178955,7,1
F23Q30138206,15,0
F22Q30014195,18,0
F23Q30148500,21,0
F22Q10447269,12,1
F22Q30066006,24,0
F23Q10062515,24,0
F23Q20160131,15,0
F23Q20039150,14,0
F22Q40092963,17,0
F22Q30262853,6,1
F23Q20032114,20,0
F22Q10552465,14,0
F22Q20110805,11,1
F22Q40015612,22,0
F22Q20066615,16,0
F22Q30226748,17,0
F22Q20090075,16,0
F22Q20229542,16,0
F22Q30229528,18,0
F23Q30055200,15,0
F22Q10016720,11,1
F22Q40156591,21,0
F22Q10418923,3,1
F23Q30180352,15,0
F22Q30266171,12,1
F23Q10004219,9,1
F23Q20002923,17,0
F23Q10032560,9,1
F23Q30219004,12,1
F22Q20198023,13,0
F22Q10213996,7,1
F22Q20403287,17,0
F22Q20248736,11,1
F23Q20141378,13,0
F23Q10057492,7,1
F22Q30283810,20,0
F23Q10120764,10,1
F22Q30200069,14,0
F22Q20414297,19,0
F23Q30219996,12,1
F23Q20176736,9,1
F22Q10039530,11,1
F22Q40084292,22,0
F22Q30226097,21,0
F22Q10268600,9,1
F22Q20189849,18,0
F23Q20074340,10,1
F23Q20035654,9,1
F22Q30215254,17,0
F23Q30063109,16,0
F23Q30222480,15,0
F22Q30006311,12,1
F23Q10181888,14,0
F22Q20364448,23,0
F22Q40191340,23,0
F23Q10032724,15,0
F22Q10052440,5,1
F22Q10444547,7,1
F23Q20179697,20,0
F23Q10039290,3,1
F22Q30033044,6,1
F22Q30025505,5,1
F22Q20062002,21,0
F22Q40202416,10,1
F22Q20202396,7,1
F22Q10062829,3,1
F22Q10329114,16,0
F22Q20087434,21,0
F22Q40135266,14,0
F22Q30037078,17,0
F23Q10020183,5,1
F22Q30127874,21,0
F23Q10046079,22,0
F23Q10119664,17,0
F22Q10538324,9,1
F22Q30213583,9,1
F23Q20092873,13,0
F23Q30260431,18,0
F23Q30191795,20,0
F23Q30207740,14,0
F22Q20403197,19,0
F22Q30320914,13,0
F23Q10019269,22,0
F22Q10563510,18,0
F22Q30052427,12,1
F23Q30226276,15,0
F23Q10088498,15,0
F22Q10005251,12,1
F22Q20365470,14,0
F22Q30054602,8,1
F23Q10044181,12,1
F23Q10022042,21,0
F22Q10140117,5,1
F22Q20300587,17,0
F23Q20011276,4,1
F22Q20195578,19,0
F22Q10480113,8,1
F22Q10040482,10,1
F22Q30167060,21,0
F23Q30223611,5,1
F22Q40199408,21,0
F23Q10111257,6,1
F23Q20201704,17,0
F22Q10001190,23,0
F22Q10440074,10,1
F22Q10340273,20,0
F23Q30116777,22,0
F22Q10557955,17,0
F22Q30076072,16,0
F22Q40188007,22,0
F23Q20167817,8,1
F22Q30067949,7,1
F23Q30099428,21,0
F23Q30155338,19,0
F23Q10004059,14,0
F22Q20249367,19,0
F22Q30026325,3,1
F22Q20189014,14,0
F22Q20396899,24,0
F22Q10390426,5,1
F22Q10547111,8,1
F23Q20241358,17,0
F22Q10382858,9,1
F22Q30301474,5,1
F22Q10280173,20,0
F23Q30184112,23,0
F22Q20064077,20,0
F23Q20020640,10,1
F22Q10270116,19,0
F22Q30017668,7,1
F22Q30312758,13,0
F23Q10091989,22,0
F22Q10413076,23,0
F22Q40218081,19,0
F22Q40196442,11,1
F23Q10062255,18,0
F22Q10267533,23,0
F22Q10317148,20,0
F22Q10304562,8,1
F23Q20111560,18,0
F22Q20330418,8,1
F22Q20403324,6,1
F22Q20392672,13,0
F22Q20397053,3,1
F22Q20297592,11,1
F22Q20273155,20,0
F22Q20097150,16,0
F22Q40122114,14,0
F22Q10475913,4,1
F22Q20262833,12,1
F22Q10509779,21,0
F22Q10544630,18,0
F22Q10349921,13,0
F22Q10390794,14,0
F22Q10110627,11,1
F22Q30087659,9,1
F22Q30028239,6,1
F23Q10078584,15,0
F23Q20254393,19,0
F22Q20106974,6,1
F23Q30099308,19,0
F22Q10118421,20,0
F22Q30108213,4,1
F23Q30136945,21,0
F22Q20118708,19,0
F22Q40138952,21,0
F23Q20120799,7,1
F22Q20219369,23,0
F22Q40334637,24,0
F23Q20143742,12,1
F22Q10345407,7,1
F22Q10278013,5,1
F22Q30309818,22,0
F22Q40131923,3,1
F22Q10013686,5,1
F22Q30250379,13,0
F23Q30069163,14,0
F22Q30207609,24,0
F22Q10546778,10,1
F22Q30266335,10,1
F23Q10058718,15,0
F22Q40085115,11,1
F22Q20039186,12,1
F22Q30276502,13,0
F22Q10501262,8,1
F22Q10512262,16,0
F22Q30140899,24,0
F22Q40196157,20,0
F22Q20252003,11,1
F22Q20233129,3,1
F23Q10147434,21,0
F22Q30103139,4,1
F22Q10123763,6,1
F23Q20003253,10,1
F22Q20308027,9,1
F22Q10120686,15,0
F22Q20430124,23,0
F22Q30276996,15,0
F23Q20158374,18,0
F22Q10381620,24,0
F23Q10110447,11,1
F22Q10495227,23,0
F22Q20055324,16,0
F23Q30066541,16,0
F22Q30296319,15,0
F22Q30256701,18,0
F22Q40177972,16,0
F22Q30179246,10,1
F22Q10382038,12,1
F22Q20112339,24,0
F23Q20161248,12,1
F23Q20114181,23,0
F23Q20222051,22,0
F22Q20384334,3,1
F23Q20261780,7,1
F23Q30051136,15,0
F22Q30066827,24,0
F22Q10081867,7,1
F22Q20051587,8,1
F22Q30161093,15,0
F23Q10024243,7,1
F23Q20061094,15,0
F22Q10227209,22,0
F22Q40018274,20,0
F22Q30108578,6,1
F23Q20176092,11,1
F22Q10397166,17,0
F22Q30255333,14,0
F22Q40034361,12,1
F23Q20179606,4,1
F23Q10037048,23,0
F23Q10052938,23,0
F22Q20396282,5,1
F22Q20410398,12,1
F22Q10310273,8,1
F22Q20062933,16,0
F23Q20092495,13,0
F23Q20099210,18,0
F22Q20347110,19,0
F22Q10463351,23,0
F22Q30292824,16,0
F23Q30101913,3,1
F22Q10458763,20,0
F22Q10352329,11,1
F22Q40028768,22,0
F22Q20195766,14,0
F23Q20055465,20,0
F22Q10511755,9,1
F22Q10493302,7,1
F22Q10452134,18,0
F22Q20091794,8,1
F22Q20404075,23,0
F23Q30074891,17,0
F22Q10289639,9,1
F23Q10037595,19,0
F22Q30255689,19,0
F23Q10083647,5,1
F22Q20073784,12,1
F22Q10135151,20,0
F23Q30130277,23,0
F23Q20261850,15,0
F23Q10104643,22,0
F22Q10336677,13,0
F22Q20147039,4,1
F22Q20337416,7,1
F22Q40006161,24,0
F22Q40099871,20,0
F22Q10123521,21,0
F23Q30029706,3,1
F22Q40012757,13,0
F23Q10160402,17,0
F22Q40128540,12,1
F22Q30290885,14,0
F22Q30293663,3,1
F22Q20296616,11,1
F22Q10016415,6,1
F22Q20300954,14,0
F23Q20166035,22,0
F22Q20301460,21,0
F23Q30108991,14,0
F22Q30174346,21,0
F22Q20142010,15,0
F23Q20146223,10,1
F22Q10533042,15,0
F22Q20221079,14,0
F23Q10137844,24,0
F22Q30230691,14,0
F22Q10542020,12,1
F22Q20073026,17,0
F22Q10318436,3,1
F22Q30313845,23,0
F22Q40066383,22,0
F22Q10328779,4,1
F22Q10389718,11,1
F23Q30098328,18,0
F22Q40157976,12,1
F23Q10082833,8,1
F23Q10171453,20,0
F22Q30226013,23,0
F23Q20140275,18,0
F23Q20268627,14,0
F22Q10270933,13,0
F23Q30055353,17,0
F22Q20100414,24,0
F23Q20182356,18,0
F22Q10138921,20,0
F22Q20349452,19,0
F22Q40079251,15,0
F22Q20099849,17,0
F22Q20131776,13,0
F22Q20117995,20,0
F22Q10481740,17,0
F23Q10006861,23,0
F23Q10007516,24,0
F23Q10151633,10,1
F23Q30133316,19,0
F22Q10267695,16,0
F22Q10419017,4,1
F22Q20396656,5,1
F23Q20118947,13,0
F23Q20100030,23,0
F22Q30068028,24,0
F23Q30242609,16,0
F22Q30218726,18,0
F22Q30258282,17,0
F23Q30048498,6,1
F22Q20288746,5,1
F22Q20140287,13,0
F22Q20173262,11,1
F22Q40180288,6,1
F22Q20396814,7,1
F22Q10054017,3,1
F22Q20233587,8,1
F23Q10149584,10,1
F22Q40089408,3,1
F22Q40045795,6,1
F22Q30135815,12,1
F23Q20083314,3,1
F22Q10346909,20,0
F22Q10105809,19,0
F22Q10125355,8,1
F22Q10138019,17,0
F22Q30150574,4,1
F22Q40167046,10,1
F22Q20100545,11,1
F23Q20005365,17,0
F22Q30177986,20,0
F22Q30259578,21,0
F22Q10313381,5,1
F23Q20228661,12,1
F22Q10109880,23,0
F22Q10182301,12,1
F22Q20146185,24,0
F22Q20106901,22,0
F23Q10093485,20,0
F22Q20267149,22,0
F22Q10569663,12,1
F22Q30013217,3,1
F22Q20369673,17,0
F22Q10453544,22,0
F22Q30299564,17,0
F22Q40015901,13,0
F23Q30149005,12,1
F22Q10540602,23,0
F22Q40126073,11,1
F22Q10537699,7,1
F22Q20041732,10,1
F22Q10344197,22,0
F22Q40032924,14,0
F23Q20096961,24,0
F22Q10127441,24,0
F22Q30174936,11,1
F23Q20162112,18,0
F22Q30116086,6,1
F22Q30298701,24,0
F23Q20152896,19,0
F22Q10396935,23,0
F23Q30111724,10,1
F23Q20161421,22,0
F23Q30221351,12,1
F22Q20182736,22,0
F22Q30275135,14,0
F22Q30208092,4,1
F22Q20103369,19,0
F23Q30012070,16,0
F22Q30216627,5,1
F22Q10120275,9,1
F22Q20139148,19,0
F22Q40174756,9,1
F22Q20213543,7,1
F22Q20140916,23,0
F22Q30062721,12,1
F22Q20205811,13,0
F22Q30131053,11,1
F23Q30219681,22,0
F22Q20389684,24,0
F23Q20124263,5,1
F23Q30126131,8,1
F23Q30182136,15,0
F22Q20284364,13,0
F23Q10059872,23,0
F22Q10354036,18,0
F23Q30231049,23,0
F23Q30228180,13,0
F22Q40168081,20,0
F22Q20387298,17,0
F22Q40059850,20,0
F23Q10008657,6,1
